"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Cellulosimicrobium",NA
"2","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"3","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9",NA,NA,NA
"4","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","HSB_OF53-F07",NA
"5","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_12",NA
"6","Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales",NA,NA,NA
"7","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","ADurb.Bin120",NA
"8","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207",NA
"9","Bacteria","Actinobacteria","Actinobacteria","PeM15",NA,NA,NA
"10","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales",NA,NA,NA
